,Слово,"Частота встречи,раз",Частота встречи в %
26928,гордом,2,0.0
26929,сосредоточивались,1,0.0
26930,простом,1,0.0
26931,законе,3,0.0
26932,преподанном,2,0.0
26933,зимою,1,0.0
26934,кроток,2,0.0
26935,предчувствовала,2,0.0
26936,беседовал,5,0.0
26937,мечтала,1,0.0
26938,мечтают,1,0.0
26939,трауре,3,0.0
26940,горести,2,0.0
26941,удел,2,0.0
26942,превосходную,1,0.0
26943,возвышенные,1,0.0
26944,умеющие,1,0.0
26945,вредящие,1,0.0
26946,необходимые,3,0.0
26947,призываются,1,0.0
26948,злые,3,0.0
26949,бесполезные,2,0.0
26950,вредные,3,0.0
26951,спрашиваете,7,0.0
26952,прекрасному,2,0.0
26953,ангелу,2,0.0
26954,бесконечной,3,0.0
26955,творца,1,0.0
26956,проявления,4,0.0
26957,творению,1,0.0
26958,ангельски,1,0.0
26959,безупречна,1,0.0
26960,ив,1,0.0
26961,ранняя,1,0.0
26962,благотворное,1,0.0
26963,потери,15,0.0
26964,отогнала,1,0.0
26965,убедить,1,0.0
26966,евангельской,1,0.0
26967,истине,3,0.0
26968,жизненным,1,0.0
26969,правилом,1,0.0
26970,упадет,3,0.0
26971,руководствуется,1,0.0
26972,беспредельною,2,0.0
26973,проведем,1,0.0
26974,удивитесь,1,0.0
26975,причиною,8,0.0
26976,слабеет,1,0.0
26977,противоречий,5,0.0
26978,раздражительность,3,0.0
26979,обращена,3,0.0
26980,равными,1,0.0
26981,государями,4,0.0
26982,внуком,1,0.0
26983,равнодушна,2,0.0
26984,ивановичем,1,0.0
26985,воздаваемые,1,0.0
26986,земном,1,0.0
26987,шаре,3,0.0
26988,признают,10,0.0
26989,выиграет,1,0.0
26990,потеряет,2,0.0
26991,споров,6,0.0
26992,неминуемы,1,0.0
26993,семейная,1,0.0
26994,ожил,3,0.0
26995,золотым,2,0.0
26996,равного,1,0.0
26997,ослабел,3,0.0
26998,нервнее,1,0.0
26999,предпринял,3,0.0
27000,предписывали,1,0.0
27001,поправит,1,0.0
27002,деятельных,1,0.0
27003,образованных,1,0.0
27004,сомневалась,3,0.0
27005,счесть,1,0.0
27006,дворян,6,0.0
27007,неверные,1,0.0
27008,вкоренилась,1,0.0
27009,преемницу,1,0.0
27010,мачиху,1,0.0
27011,откровенно,4,0.0
27012,заболталась,1,0.0
27013,могучим,2,0.0
27014,лета,4,0.0
27015,швейцарии,6,0.0
27016,сообщал,3,0.0
27017,странную,4,0.0
27018,объявлял,1,0.0
27019,дышало,2,0.0
27020,любовною,1,0.0
27021,восторженностью,2,0.0
27022,невесте,9,0.0
27023,решении,3,0.0
27024,раздражила,1,0.0
27025,неудовольствия,2,0.0
27026,месяцев,10,0.0
27027,задерживали,2,0.0
27028,водах,1,0.0
27029,независим,1,0.0
27030,разрушило,1,0.0
27031,добрую,7,0.0
27032,известить,1,0.0
27033,сократить,1,0.0
27034,долгих,1,0.0
27035,колебаний,1,0.0
27036,молитв,1,0.0
27037,развяжу,1,0.0
27038,возразить,2,0.0
27039,допустил,5,0.0
27040,возвышать,2,0.0
27041,родство,5,0.0
27042,мачиха,2,0.0
27043,бурьенке,1,0.0
27044,мачихи,1,0.0
27045,баб,3,0.0
27046,переедешь,1,0.0
27047,морозцу,3,0.0
27048,малодушие,1,0.0
27049,предлогам,1,0.0
27050,прибавился,1,0.0
27051,мачихе,1,0.0
27052,любезности,5,0.0
27053,недоуменью,1,0.0
27054,замечать,1,0.0
27055,приближать,1,0.0
27056,написала,6,0.0
27057,утешала,3,0.0
27058,примирить,2,0.0
27059,утешениями,1,0.0
27060,глубокой,3,0.0
27061,скрытая,4,0.0
27062,мечта,2,0.0
27063,доставлявшая,1,0.0
27064,утешительную,2,0.0
27065,мечту,2,0.0
27066,юродивые,1,0.0
27067,странники,1,0.0
27068,посещавшие,1,0.0
27069,наблюдала,1,0.0
27070,удивляла,1,0.0
27071,близорукость,1,0.0
27072,трудящихся,1,0.0
27073,борющихся,2,0.0
27074,делающих,1,0.0
27075,невозможного,1,0.0
27076,призрачного,1,0.0
27077,порочного,1,0.0
27078,умерла,5,0.0
27079,борятся,1,0.0
27080,страдают,3,0.0
27081,мучают,1,0.0
27082,портят,1,0.0
27083,мгновенная,1,0.0
27084,держимся,1,0.0
27085,презренных,2,0.0
27086,сумками,2,0.0
27087,попасться,1,0.0
27088,родину,2,0.0
27089,заботы,11,0.0
27090,мирских,1,0.0
27091,благах,1,0.0
27092,прилепляясь,1,0.0
27093,посконном,1,0.0
27094,рубище,2,0.0
27095,вреда,4,0.0
27096,молясь,2,0.0
27097,гонят,2,0.0
27098,покровительствуют,1,0.0
27099,федосьюшка,4,0.0
27100,летняя,2,0.0
27101,тихонькая,2,0.0
27102,рябая,2,0.0
27103,ходившая,2,0.0
27104,веригах,1,0.0
27105,странствовать,2,0.0
27106,поверила,3,0.0
27107,монаху,1,0.0
27108,акинфию,1,0.0
27109,духовник,1,0.0
27110,одобрил,8,0.0
27111,подарка,1,0.0
27112,припасла,1,0.0
27113,одеяние,2,0.0
27114,странницы,1,0.0
27115,кафтан,9,0.0
27116,заветному,1,0.0
27117,комоду,1,0.0
27118,останавливалась,4,0.0
27119,приведения,3,0.0
27120,странниц,1,0.0
27121,возбуждалась,1,0.0
27122,механическими,1,0.0
27123,федосьюшкой,1,0.0
27124,грубом,1,0.0
27125,шагающею,1,0.0
27126,палочкой,3,0.0
27127,котомочкой,1,0.0
27128,пыльной,5,0.0
27129,направляя,3,0.0
27130,угодникам,2,0.0
27131,воздыхания,2,0.0
27132,вечная,1,0.0
27133,блаженство,3,0.0
27134,помолюсь,1,0.0
27135,привыкнуть,4,0.0
27136,подкосятся,1,0.0
27137,лягу,5,0.0
27138,тихую,1,0.0
27139,пристань,1,0.0
27140,ослабевала,1,0.0
27141,грешница,1,0.0
27142,библейское,2,0.0
27143,падшем,1,0.0
27144,проклятие,1,0.0
27145,тяготеет,2,0.0
27146,поте,1,0.0
27147,снискивать,1,0.0
27148,нравственным,6,0.0
27149,праздны,2,0.0
27150,тайный,5,0.0
27151,виновны,1,0.0
27152,праздным,1,0.0
27153,полезным,3,0.0
27154,исполняющим,2,0.0
27155,первобытного,1,0.0
27156,обязательной,2,0.0
27157,безупречной,2,0.0
27158,сословие,6,0.0
27159,привлекательность,4,0.0
27160,загрубелым,1,0.0
27161,малым,4,0.0
27162,уважаем,2,0.0
27163,сетования,1,0.0
27164,расстраиваются,1,0.0
27165,оградив,1,0.0
27166,житейской,2,0.0
27167,омут,1,0.0
27168,расстройствами,1,0.0
27169,поправлениями,1,0.0
27170,учетами,1,0.0
27171,ссорами,1,0.0
27172,интригами,2,0.0
27173,связями,1,0.0
27174,обществом,5,0.0
27175,запутано,1,0.0
27176,холодными,2,0.0
27177,классическими,3,0.0
27178,начинавшимися,1,0.0
27179,кончавшимися,1,0.0
27180,умалчивая,1,0.0
27181,извещали,1,0.0
27182,огорчило,1,0.0
27183,оскорбило,1,0.0
27184,гусарской,6,0.0
27185,сумасбродного,1,0.0
27186,попроситься,3,0.0
27187,маневры,9,0.0
27188,писавшей,1,0.0
27189,возьмется,5,0.0
27190,вверился,2,0.0
27191,митиньке,3,0.0
27192,подействовало,4,0.0
27193,здравый,3,0.0
27194,посредственности,1,0.0
27195,выспавшись,1,0.0
27196,послушный,1,0.0
27197,оседлать,2,0.0
27198,серого,1,0.0
27199,марса,1,0.0
27200,езженного,1,0.0
27201,взмыленном,1,0.0
27202,пришедшим,1,0.0
27203,ротмистры,2,0.0
27204,продав,1,0.0
27205,голуховскому,1,0.0
27206,тройку,8,0.0
27207,саврасых,3,0.0
27208,торговал,1,0.0
27209,продаст,1,0.0
27210,панне,2,0.0
27211,пшаздецкой,1,0.0
27212,пику,1,0.0
27213,уланам,4,0.0
27214,дававшим,1,0.0
27215,боржозовской,1,0.0
27216,бригаде,1,0.0
27217,стоивший,2,0.0
27218,подписки,1,0.0
27219,хора,4,0.0
27220,трепака,2,0.0
27221,басовым,1,0.0
27222,пьяные,5,0.0
27223,качали,2,0.0
27224,уронили,1,0.0
27225,кременчуга,1,0.0
27226,киева,1,0.0
27227,перевалившись,1,0.0
27228,дожойвейку,1,0.0
27229,подчинено,1,0.0
27230,закону,14,0.0
27231,притяжения,3,0.0
27232,квадратам,2,0.0
27233,расстояний,4,0.0
27234,отрадным,1,0.0
27235,рубля,3,0.0
27236,восторгов,1,0.0
27237,странного,6,0.0
27238,неудовлетворения,1,0.0
27239,ожидаешь,1,0.0
27240,вживаться,1,0.0
27241,постарели,1,0.0
27242,несогласие,1,0.0
27243,двадцатый,3,0.0
27244,хорошеть,1,0.0
27245,верная,2,0.0
27246,действовала,3,0.0
27247,удивили,1,0.0
27248,тринадцатилетний,2,0.0
27249,ломался,1,0.0
27250,роман,10,0.0
27251,отложена,1,0.0
27252,ожесточением,2,0.0
27253,напустилась,2,0.0
27254,влюбленная,1,0.0
27255,ровна,1,0.0
27256,сватовство,2,0.0
27257,решена,2,0.0
27258,отсрочка,1,0.0
27259,обручились,1,0.0
27260,затаенным,1,0.0
27261,недоброжелательства,1,0.0
27262,супружеского,2,0.0
27263,задержать,1,0.0
27264,доживает,1,0.0
27265,заключала,2,0.0
27266,скучен,2,0.0
27267,предстоящая,1,0.0
27268,глупые,5,0.0
27269,хозяйства,7,0.0
27270,свалить,4,0.0
27271,обузу,1,0.0
27272,учет,1,0.0
27273,митиньки,4,0.0
27274,выборный,1,0.0
27275,земский,2,0.0
27276,дожидавшиеся,1,0.0
27277,загудел,1,0.0
27278,затрещал,1,0.0
27279,возвышавшийся,1,0.0
27280,ругательные,1,0.0
27281,сыпавшиеся,1,0.0
27282,тварь,1,0.0
27283,папенькой,1,0.0
27284,обворовал,1,0.0
27285,неменьшим,1,0.0
27286,налитою,1,0.0
27287,шиворот,2,0.0
27288,вытащил,1,0.0
27289,митиньку,1,0.0
27290,коленкой,6,0.0
27291,удобное,2,0.0
27292,зад,6,0.0
27293,слетел,1,0.0
27294,клумбу,2,0.0
27295,клумба,1,0.0
27296,преступников,3,0.0
27297,приезжая,2,0.0
27298,пьяный,7,0.0
27299,прятался,3,0.0
27300,прятавшиеся,2,0.0
27301,спасительную,2,0.0
27302,клумбы,1,0.0
27303,свояченицы,1,0.0
27304,высунулись,2,0.0
27305,кипел,1,0.0
27306,чистый,10,0.0
27307,возвышалась,1,0.0
27308,приказчицкая,1,0.0
27309,стеганным,1,0.0
27310,сшитым,1,0.0
27311,кусочков,1,0.0
27312,узнавшая,1,0.0
27313,флигеле,2,0.0
27314,поправиться,3,0.0
27315,беспокоилась,1,0.0
27316,погорячился,2,0.0
27317,пойму,2,0.0
27318,дурацком,1,0.0
27319,рассердился,6,0.0
27320,вписал,1,0.0
27321,транспортом,2,0.0
27322,транспортами,1,0.0
27323,странице,2,0.0
27324,кушей,1,0.0
27325,вступался,1,0.0
27326,позвала,4,0.0
27327,разорвал,1,0.0
27328,рыдать,1,0.0
27329,старую,11,0.0
27330,вступаясь,1,0.0
27331,псовой,1,0.0
27332,размерах,3,0.0
27333,заведена,1,0.0
27334,зазимки,1,0.0
27335,утренние,1,0.0
27336,морозы,2,0.0
27337,заковывали,1,0.0
27338,смоченную,1,0.0
27339,осенними,1,0.0
27340,дождями,1,0.0
27341,зелень,1,0.0
27342,уклочилась,1,0.0
27343,полос,1,0.0
27344,буреющего,1,0.0
27345,выбитого,2,0.0
27346,скотом,3,0.0
27347,озимого,1,0.0
27348,желтого,3,0.0
27349,ярового,2,0.0
27350,полосами,1,0.0
27351,гречихи,1,0.0
27352,вершины,2,0.0
27353,островами,2,0.0
27354,озимей,2,0.0
27355,жнивами,1,0.0
27356,золотистыми,1,0.0
27357,русак,4,0.0
27358,затерся,1,0.0
27359,перелинял,1,0.0
27360,лисьи,2,0.0
27361,выводки,1,0.0
27362,разбредаться,1,0.0
27363,охотничье,3,0.0
27364,горячего,1,0.0
27365,охотника,11,0.0
27366,подбились,1,0.0
27367,охотников,12,0.0
27368,собакам,6,0.0
27369,сентября,31,0.01
27370,дубравы,1,0.0
27371,нетронутый,2,0.0
27372,волчий,1,0.0
27373,выводок,3,0.0
27374,морозно,2,0.0
27375,колко,1,0.0
27376,замолаживать,2,0.0
27377,оттеплело,1,0.0
27378,таяло,2,0.0
27379,спускающихся,1,0.0
27380,микроскопических,1,0.0
27381,мги,1,0.0
27382,оголившихся,1,0.0
27383,ветвях,1,0.0
27384,свалившиеся,1,0.0
27385,огороде,1,0.0
27386,глянцевито,2,0.0
27387,мокро,6,0.0
27388,чернела,1,0.0
27389,недалеком,1,0.0
27390,тусклым,1,0.0
27391,влажным,1,0.0
27392,натасканною,1,0.0
27393,вянущим,1,0.0
27394,чернопегая,4,0.0
27395,широкозадая,3,0.0
27396,сука,2,0.0
27397,милка,7,0.0
27398,выкате,3,0.0
27399,русачьи,1,0.0
27400,лизнула,1,0.0
27401,борзая,2,0.0
27402,цветной,1,0.0
27403,выгибая,2,0.0
27404,прави,1,0.0
27405,ло,3,0.0
27406,тереться,1,0.0
27407,гой,2,0.0
27408,неподражаемый,1,0.0
27409,охотничий,1,0.0
27410,подклик,1,0.0
27411,соединяет,1,0.0
27412,бас,3,0.0
27413,тенор,1,0.0
27414,доезжачий,1,0.0
27415,ловчий,1,0.0
27416,данило,22,0.0
27417,украински,1,0.0
27418,обстриженный,1,0.0
27419,охотник,28,0.01
27420,гнутым,1,0.0
27421,арапником,5,0.0
27422,самостоятельности,1,0.0
27423,черкесскую,1,0.0
27424,презирающий,1,0.0
27425,превыше,1,0.0
27426,охотничьей,2,0.0
27427,погоды,2,0.0
27428,непреодолимое,3,0.0
27429,любовницы,3,0.0
27430,протодиаконский,1,0.0
27431,охриплый,1,0.0
27432,порсканья,1,0.0
27433,замолчавшего,1,0.0
27434,выдержишь,1,0.0
27435,денек,4,0.0
27436,гоньба,1,0.0
27437,скачка,1,0.0
27438,чеша,1,0.0
27439,милку,3,0.0
27440,помигал,1,0.0
27441,уварку,1,0.0
27442,молчанья,2,0.0
27443,отрадненский,2,0.0
27444,заказ,2,0.0
27445,перевела,2,0.0
27446,выли,2,0.0
27447,волчица,1,0.0
27448,отъемное,1,0.0
27449,уваркой,2,0.0
27450,производило,3,0.0
27451,условиями,5,0.0
27452,людской,2,0.0
27453,поломать,1,0.0
27454,господских,1,0.0
27455,простор,2,0.0
27456,потолка,2,0.0
27457,выпытав,1,0.0
27458,даниле,2,0.0
27459,седлать,3,0.0
27460,причесанная,2,0.0
27461,нянином,1,0.0
27462,платке,3,0.0
27463,серьезную,2,0.0
27464,охоту,7,0.0
27465,волками,1,0.0
27466,сворой,2,0.0
27467,ловчему,1,0.0
27468,поспешил,6,0.0
27469,барышне,2,0.0
27470,передавший,1,0.0
27471,ведение,2,0.0
27472,развеселившись,1,0.0
27473,пустяками,5,0.0
27474,осмотрел,6,0.0
27475,стаю,2,0.0
27476,заезд,2,0.0
27477,донца,3,0.0
27478,подсвистывая,2,0.0
27479,своры,2,0.0
27480,гумно,2,0.0
27481,ведущее,1,0.0
27482,заказу,1,0.0
27483,игреневого,1,0.0
27484,меренка,1,0.0
27485,вифлянкой,1,0.0
27486,графский,3,0.0
27487,стремянной,4,0.0
27488,дрожечках,4,0.0
27489,оставленный,4,0.0
27490,лаз,3,0.0
27491,гончих,14,0.0
27492,выведено,1,0.0
27493,выехало,4,0.0
27494,доезжачими,3,0.0
27495,выжлятниками,3,0.0
27496,борзятников,2,0.0
27497,рыскало,1,0.0
27498,борзых,2,0.0
27499,господскими,1,0.0
27500,сворами,1,0.0
27501,конных,2,0.0
27502,кличку,1,0.0
27503,ограду,3,0.0
27504,ведшими,1,0.0
27505,пушному,1,0.0
27506,шлепая,7,0.0
27507,лужам,1,0.0
27508,туманное,1,0.0
27509,подсвистыванье,1,0.0
27510,храп,3,0.0
27511,взвизг,1,0.0
27512,отъехали,2,0.0
27513,версту,5,0.0
27514,ростовской,2,0.0
27515,охоте,6,0.0
27516,родственник,5,0.0
27517,вытерпишь,1,0.0
27518,бери,2,0.0
27519,гирчик,1,0.0
27520,илагины,1,0.0
27521,охотой,10,0.0
27522,корниках,3,0.0
27523,стаи,4,0.0
27524,соединили,3,0.0
27525,закутанная,1,0.0
27526,подскакала,2,0.0
27527,отстававшими,1,0.0
27528,михайлой,1,0.0
27529,охотником,2,0.0
27530,приставлен,1,0.0
27531,нянькой,1,0.0
27532,арабчике,1,0.0
27533,осадила,1,0.0
27534,соединять,3,0.0
27535,передавите,1,0.0
27536,трунила,2,0.0
27537,гончую,1,0.0
27538,выжлец,1,0.0
27539,станем,2,0.0
27540,пошевелимся,1,0.0
27541,графинечка,3,0.0
27542,упадите,1,0.0
27543,отрадненского,1,0.0
27544,саженях,2,0.0
27545,доезжачие,4,0.0
27546,побежать,2,0.0
27547,оврагом,1,0.0
27548,племянничек,1,0.0
27549,матерого,4,0.0
27550,становишься,1,0.0
27551,гладить,1,0.0
27552,протравить,1,0.0
27553,карай,12,0.0
27554,фюит,1,0.0
27555,призывом,1,0.0
27556,уродливый,1,0.0
27557,бурдастый,1,0.0
27558,кобель,7,0.0
27559,одиночку,1,0.0
27560,бирал,1,0.0
27561,волка,22,0.0
27562,охотничью,1,0.0
27563,поторопился,2,0.0
27564,вороненьких,1,0.0
27565,подкатил,1,0.0
27566,зеленям,4,0.0
27567,оставленному,2,0.0
27568,лазу,1,0.0
27569,расправив,3,0.0
27570,шубку,6,0.0
27571,охотничьи,2,0.0
27572,снаряды,7,0.0
27573,гладкую,1,0.0
27574,сытую,1,0.0
27575,смирную,1,0.0
27576,поседевшую,1,0.0
27577,вифлянку,1,0.0
27578,дрожками,3,0.0
27579,отослали,2,0.0
27580,опушку,8,0.0
27581,отяжелевший,1,0.0
27582,чекмарь,3,0.0
27583,своре,2,0.0
27584,лихих,1,0.0
27585,зажиревших,1,0.0
27586,волкодавов,1,0.0
27587,улеглись,3,0.0
27588,свор,3,0.0
27589,опушке,6,0.0
27590,митька,4,0.0
27591,старинной,1,0.0
27592,чарку,1,0.0
27593,запеканочки,1,0.0
27594,закусил,1,0.0
27595,запил,1,0.0
27596,полубутылкой,1,0.0
27597,бордо,3,0.0
27598,подернутые,1,0.0
27599,влагой,1,0.0
27600,укутанный,1,0.0
27601,собрали,2,0.0
27602,втянутыми,1,0.0
27603,подъехало,1,0.0
27604,учено,1,0.0
27605,остановилось,2,0.0
27606,бороде,3,0.0
27607,капоте,5,0.0
27608,настасья,7,0.0
27609,оттопай,1,0.0
27610,усам,3,0.0
27611,шшшш,1,0.0
27612,зашикал,1,0.0
27613,семену,1,0.0
27614,наталью,1,0.0
27615,ильиничну,1,0.0
27616,семена,3,0.0
27617,петром,2,0.0
27618,ильичем,1,0.0
27619,жаровых,1,0.0
27620,бурьянов,2,0.0
27621,удивляешься,2,0.0
27622,дивиться,1,0.0
27623,николаша,1,0.0
27624,лядовским,1,0.0
27625,данилой,2,0.0
27626,диву,1,0.0
27627,даемся,1,0.0
27628,угодить,7,0.0
27629,картину,5,0.0
27630,намеднись,1,0.0
27631,заварзинских,1,0.0
27632,помкнули,1,0.0
27633,лису,1,0.0
27634,перескакивать,1,0.0
27635,уймища,1,0.0
27636,тысяча,3,0.0
27637,поискать,3,0.0
27638,отворачивая,2,0.0
27639,полы,3,0.0
27640,шубки,1,0.0
27641,намедни,6,0.0
27642,обедни,11,0.0
27643,регалии,1,0.0
27644,сидорыч,2,0.0
27645,раздававшийся,2,0.0
27646,тихом,2,0.0
27647,гон,2,0.0
27648,подвыванием,2,0.0
27649,погрозился,1,0.0
27650,натекли,1,0.0
27651,лядовской,1,0.0
27652,стереть,1,0.0
27653,вдаль,2,0.0
27654,перемычке,1,0.0
27655,лаем,2,0.0
27656,волку,12,0.0
27657,рог,1,0.0
27658,присоединилась,4,0.0
27659,заревели,2,0.0
27660,заливом,1,0.0
27661,служило,1,0.0
27662,гона,5,0.0
27663,порскали,1,0.0
27664,улюлюкали,1,0.0
27665,наполнял,1,0.0
27666,прислушавшись,1,0.0
27667,гончие,5,0.0
27668,разбились,2,0.0
27669,ревевшая,1,0.0
27670,стае,1,0.0
27671,улюлюканье,3,0.0
27672,удалялись,1,0.0
27673,оправить,2,0.0
27674,сворку,1,0.0
27675,запутался,3,0.0
27676,кобеля,3,0.0
27677,самими,7,0.0
27678,лающие,1,0.0
27679,рты,4,0.0
27680,митьку,1,0.0
27681,выкатывавшимися,1,0.0
27682,береги,1,0.0
27683,выскакали,1,0.0
27684,скоком,2,0.0
27685,сорвавшись,1,0.0
27686,понеслись,3,0.0
27687,волк,16,0.0
27688,жабой,1,0.0
27689,лобастую,2,0.0
27690,прыгнул,2,0.0
27691,мотнув,1,0.0
27692,поленом,1,0.0
27693,скрылся,5,0.0
27694,ревом,4,0.0
27695,плач,6,0.0
27696,гончая,1,0.0
27697,пролез,2,0.0
27698,гончими,2,0.0
27699,орешника,2,0.0
27700,бурая,1,0.0
27701,почерневшая,1,0.0
27702,комочком,1,0.0
27703,валясь,2,0.0
27704,встрепанными,1,0.0
27705,потным,2,0.0
27706,улюлюлю,2,0.0
27707,улюлю,3,0.0
27708,сверкнула,1,0.0
27709,молния,2,0.0
27710,поднятым,6,0.0
27711,охотники,12,0.0
27712,удостоивая,1,0.0
27713,сконфуженного,1,0.0
27714,дальнейшим,1,0.0
27715,ввалившимся,1,0.0
27716,мокрым,3,0.0
27717,бокам,4,0.0
27718,бурого,3,0.0
27719,мерина,1,0.0
27720,понесся,2,0.0
27721,семене,1,0.0
27722,объезд,3,0.0
27723,заскакивал,1,0.0
27724,засеки,1,0.0
27725,перескакивали,1,0.0
27726,борзятники,2,0.0
27727,кустами,3,0.0
27728,перехватил,1,0.0
27729,отдалению,3,0.0
27730,возвышению,2,0.0
27731,доезжачих,1,0.0
27732,прибылые,1,0.0
27733,матерые,1,0.0
27734,травили,1,0.0
27735,неблагополучное,1,0.0
27736,предположений,8,0.0
27737,травить,4,0.0
27738,сменялась,1,0.0
27739,совестливым,1,0.0
27740,молятся,1,0.0
27741,зависящего,1,0.0
27742,ничтожной,2,0.0
27743,вылез,4,0.0
27744,матерый,1,0.0
27745,влепился,1,0.0
27746,мертвою,2,0.0
27747,хваткой,1,0.0
27748,напряженным,2,0.0
27749,окидывал,1,0.0
27750,дубами,1,0.0
27751,осиновым,2,0.0
27752,подседом,1,0.0
27753,измытым,1,0.0
27754,краем,2,0.0
27755,видневшегося,1,0.0
27756,куста,2,0.0
27757,сменяясь,1,0.0
27758,затравить,1,0.0
27759,напрягая,7,0.0
27760,оттенкам,1,0.0
27761,пустынному,1,0.0
27762,вздыхает,2,0.0
27763,совершении,2,0.0
27764,ожидаемо,1,0.0
27765,ознаменования,2,0.0
27766,рытвину,1,0.0
27767,наеденным,1,0.0
27768,красноватым,1,0.0
27769,брюхом,3,0.0
27770,убежденный,1,0.0
27771,завернув,1,0.0
27772,оскалив,3,0.0
27773,блоху,1,0.0
27774,щелкал,1,0.0
27775,ляжках,2,0.0
27776,оттопыривая,1,0.0
27777,железками,1,0.0
27778,вскочили,1,0.0
27779,насторожив,2,0.0
27780,почесал,2,0.0
27781,ляжку,2,0.0
27782,мотнул,1,0.0
27783,войлоки,1,0.0
27784,шерсти,2,0.0
27785,отделяясь,1,0.0
27786,виданные,1,0.0
27787,устремленные,3,0.0
27788,поворотив,1,0.0
27789,охотнику,4,0.0
27790,вольным,2,0.0
27791,водомоины,4,0.0
27792,поперечь,2,0.0
27793,скачет,4,0.0
27794,усилив,1,0.0
27795,зверю,5,0.0
27796,приспела,1,0.0
27797,покосился,3,0.0
27798,наддать,3,0.0
27799,упираться,1,0.0
27800,улюлюлюлю,1,0.0
27801,милки,2,0.0
27802,гачи,1,0.0
27803,ляжки,2,0.0
27804,перескочил,1,0.0
27805,провожаемый,2,0.0
27806,приближавшимися,1,0.0
27807,охрипнувшим,1,0.0
27808,вытянувшись,4,0.0
27809,быстроте,4,0.0
27810,скока,2,0.0
27811,медленности,1,0.0
27812,расчет,4,0.0
27813,карая,2,0.0
27814,ошибочен,1,0.0
27815,добежав,2,0.0
27816,муругий,1,0.0
27817,подлетел,1,0.0
27818,муругому,1,0.0
27819,кобелю,1,0.0
27820,окровавленный,4,0.0
27821,распоротым,1,0.0
27822,завизжав,1,0.0
27823,ткнулся,1,0.0
27824,караюшка,1,0.0
27825,мотавшимися,3,0.0
27826,происшедшей,3,0.0
27827,остановке,1,0.0
27828,перерезывая,1,0.0
27829,полено,1,0.0
27830,наддал,4,0.0
27831,скоку,2,0.0
27832,караем,1,0.0
27833,волке,1,0.0
27834,кубарем,3,0.0
27835,водомоину,1,0.0
27836,водомоине,1,0.0
27837,копошащихся,1,0.0
27838,волком,1,0.0
27839,вытянувшаяся,1,0.0
27840,задняя,2,0.0
27841,прижатыми,1,0.0
27842,задыхающаяся,1,0.0
27843,счастливейшею,1,0.0
27844,минутою,1,0.0
27845,слезть,2,0.0
27846,колоть,3,0.0
27847,ляснул,2,0.0
27848,выпрыгнул,1,0.0
27849,ощетинившеюся,1,0.0
27850,ушибленный,1,0.0
27851,вертелись,2,0.0
27852,зверем,2,0.0
27853,улюлюкая,1,0.0
27854,садился,7,0.0
27855,встряхивался,1,0.0
27856,засеке,2,0.0
27857,травли,3,0.0
27858,утек,1,0.0
27859,линией,2,0.0
27860,дядюшкины,1,0.0
27861,вынутый,1,0.0
27862,кинжал,7,0.0
27863,цепом,1,0.0
27864,молоча,1,0.0
27865,пропыхтел,1,0.0
27866,бурый,1,0.0
27867,паденья,1,0.0
27868,заду,2,0.0
27869,поймать,7,0.0
27870,облепили,1,0.0
27871,падающий,1,0.0
27872,тяжестью,4,0.0
27873,соструним,1,0.0
27874,переменив,3,0.0
27875,наступил,5,0.0
27876,пасть,3,0.0
27877,заложили,1,0.0
27878,завязали,1,0.0
27879,взнуздав,1,0.0
27880,связали,3,0.0
27881,перевалил,1,0.0
27882,измученными,2,0.0
27883,взвалили,1,0.0
27884,шарахающую,1,0.0
27885,фыркающую,1,0.0
27886,визжавшими,1,0.0
27887,борзые,4,0.0
27888,съезжались,3,0.0
27889,добычами,2,0.0
27890,рассказами,5,0.0
27891,матёрого,2,0.0
27892,свесив,1,0.0
27893,стеклянными,1,0.0
27894,трогали,1,0.0
27895,завязанными,2,0.0
27896,дико,4,0.0
27897,потрогал,2,0.0
27898,материщий,1,0.0
27899,матёрый,5,0.0
27900,прозеванного,1,0.0
27901,обещались,1,0.0
27902,поросший,1,0.0
27903,насупротив,1,0.0
27904,яме,5,0.0
27905,выдавшимся,1,0.0
27906,кустом,1,0.0
27907,завели,1,0.0
27908,редкий,2,0.0
27909,волторна,1,0.0
27910,замолкая,2,0.0
27911,гнать,1,0.0
27912,острова,2,0.0
27913,лисе,1,0.0
27914,свалившись,1,0.0
27915,погнала,1,0.0
27916,отвершку,1,0.0
27917,скачущих,2,0.0
27918,выжлятников,1,0.0
27919,поросшего,1,0.0
27920,зеленях,1,0.0
27921,лисица,2,0.0
27922,низкую,2,0.0
27923,лисицу,3,0.0
27924,распушив,1,0.0
27925,неслась,1,0.0
27926,приблизились,3,0.0
27927,кругами,7,0.0
27928,вилять,1,0.0
27929,обводя,2,0.0
27930,трубой,2,0.0
27931,налетела,1,0.0
27932,черная,6,0.0
27933,смешалось,2,0.0
27934,врозь,3,0.0
27935,зады,6,0.0
27936,подскакали,1,0.0
27937,дядюшкин,1,0.0
27938,тороча,1,0.0
27939,пешие,3,0.0
27940,чумбурах,1,0.0
27941,выступами,1,0.0
27942,седел,1,0.0
27943,лисицей,3,0.0
27944,рога,1,0.0
27945,условленный,1,0.0
27946,сигнал,3,0.0
27947,илагинский,2,0.0
27948,иваном,2,0.0
27949,стремянный,2,0.0
27950,стремянного,1,0.0
